Event Title,Category,Complete Description,Meta Description,Venue Name,Venue Address,Dates,Times,Duration,Ticket Price,Age Restriction,Languages,BookMyShow URL,Tags,Suitable For,Image
Name Plate Workshop,Arts & Crafts,"Design a personalized name plate that reflects your style in this interactive DIY workshop in Malviya Nagar. Guided by experienced instructors, participants can experiment with different colors, textures, and decorative elements to create a unique name plate for their home or office. No prior artistic experience is required, making it suitable for beginners and hobby enthusiasts alike.","Design your own customized name plate in this creative DIY workshop in Malviya Nagar, Delhi. Great for beginners and home décor lovers.","Olipo Cafe & Best Coffee Cafe, Malviya Nagar","Malviya Nagar, New Delhi",Multiple dates from 19 Jul 2026,Multiple slots,1 Hour,₹499 onwards,12+,"English, Hindi",https://in.bookmyshow.com/events/name-plate-workshop/ET00501751,"Name Plate Workshop, DIY Decor, Home Décor, Craft Workshop, Malviya Nagar","Beginners, Families",
Moon Lamp Workshop,Arts & Crafts,"Bring creativity and lighting together by designing your own decorative moon lamp. This hands-on workshop allows participants to paint and personalize a moon-shaped lamp using artistic techniques and vibrant colors. Perfect for beginners, couples, and anyone looking to create a unique piece of home décor while enjoying a relaxing creative experience.","Paint and personalize a beautiful moon lamp in this creative art workshop in Malviya Nagar, Delhi. Ideal for beginners and DIY enthusiasts","Third Wave Coffee, Malviya Nagar","Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour 30 Minutes,₹899 onwards,All ages,"English, Hindi",https://in.bookmyshow.com/events/moon-lamp-workshop/ET00462165,"Moon Lamp, DIY Lamp, Painting Workshop, Home Decor, Creative Workshop",Beginners,
Tote Bag Painting,Arts & Crafts,"Transform a plain canvas tote bag into a stylish accessory through this guided painting workshop in Malviya Nagar. Participants can experiment with patterns, illustrations, floral designs, or abstract artwork while learning basic fabric painting techniques. The finished tote bag serves as both a creative keepsake and an eco-friendly everyday accessory.","Create your own hand-painted tote bag at this fun fabric painting workshop in Malviya Nagar, Delhi. Perfect for all skill levels.","Nothing Before Coffee, Malviya Nagar","Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour 30 Minutes,₹499 onwards,All ages,"English, Hindi, Telugu",https://in.bookmyshow.com/events/tote-bag-painting/ET00489178,"Tote Bag Painting, Fabric Painting, DIY Workshop, Art Workshop, Sustainable Craft",Beginners,
Dream Catcher Workshop,Arts & Crafts,"Learn the art of creating beautiful handmade dream catchers using hoops, threads, beads, and decorative elements. This relaxing craft workshop combines creativity with traditional design techniques, allowing participants to create a personalized decorative piece that can be displayed at home or gifted to loved ones.","Learn to make a beautiful handmade dream catcher in this relaxing craft workshop in Malviya Nagar, Delhi.","Nothing Before Coffee, Malviya Nagar","Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour,₹499 onwards,12+,"English, Hindi",https://in.bookmyshow.com/events/dream-catcher/ET00501901,"Dream Catcher, Handmade Crafts, DIY Decor, Weekend Workshop, Creative Activities",Beginners,
Terracotta Painting Workshop,Arts & Crafts,Discover the joy of painting handcrafted terracotta items using vibrant colors and creative patterns. This beginner-friendly workshop offers a relaxing environment where participants can customize terracotta décor pieces while learning simple painting techniques. Ideal for anyone looking to explore traditional art with a modern touch.,Discover terracotta painting in Delhi with a beginner-friendly workshop where you can create colorful handcrafted décor.,Olipo Cafe & Best Coffee Cafe,"Malviya Nagar, New Delhi",Multiple dates from 26 Jul 2026,Multiple slots,1 Hour,₹499 onwards,12+,"English, Hindi",https://in.bookmyshow.com/events/terracotta-painting-workshop/ET00501900,"Terracotta Painting, Pottery Painting, Art Workshop, DIY Craft, Malviya Nagar",Beginners,
Fluid Art Workshop,Arts & Crafts,"Explore the fascinating world of acrylic pouring and fluid art in this immersive workshop. Learn how colors interact naturally to create abstract patterns, unique textures, and stunning artworks without requiring traditional painting skills. Each participant takes home a one-of-a-kind masterpiece created during the session.","Explore acrylic pouring and abstract painting techniques at a creative Fluid Art Workshop in Malviya Nagar, Delhi.",Olipo Cafe & Bakery,"Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour,₹699 onwards,12+,"English, Hindi",https://in.bookmyshow.com/events/fluid-art-workshop/ET00492775,"Fluid Art, Acrylic Pouring, Abstract Painting, Art Workshop, Creative Experience",Beginners,
Beach Texture Art,Arts & Crafts,"Create beautiful beach-inspired textured artwork using mixed media techniques in this guided workshop. Participants learn how to build realistic ocean waves, sandy textures, and coastal landscapes while experimenting with different artistic materials. This workshop is suitable for beginners and anyone interested in modern textured art.","Create stunning beach-inspired textured artwork in this guided mixed-media art workshop in Malviya Nagar, Delhi.",Nothing Before Coffee,"Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour,₹749 onwards,13+,"English, Hindi",https://in.bookmyshow.com/events/beach-texture-art/ET00490205,"Beach Texture Art, Mixed Media Art, Ocean Art, DIY Workshop, Resin Art",Beginners,
Neon Painting,Arts & Crafts,"Experience painting in a completely different atmosphere using fluorescent paints that glow under UV lighting. This exciting workshop combines vibrant colors, music, and creativity to create a memorable artistic experience. Perfect for friends, couples, and anyone looking for a unique evening activity in Delhi",Experience glow-in-the-dark painting with fluorescent colors in this exciting Neon Painting Workshop in Delhi.,Conscious Coffee Cravings,"Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour 30 Minutes,₹1299 onwards,All ages,"English, Hindi",https://in.bookmyshow.com/events/neon-painting/ET00146564,"Neon Painting, Glow Painting, UV Art, Creative Night, Painting Workshop",Everyone,
Pottery Date,Pottery,"Spend quality time together while exploring pottery through this hands-on couple's workshop. Participants learn basic hand-building and pottery wheel techniques under expert guidance before creating their own ceramic pieces. Whether it's a date, anniversary, or simply a fun outing, this experience offers a memorable blend of creativity and connection.",Enjoy a memorable pottery date in Delhi with guided pottery-making perfect for couples and creative experiences.,Third Wave Coffee,"Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour 30 Minutes,₹499 onwards,All ages,"English, Hindi",https://in.bookmyshow.com/events/pottery-date/ET00491286,"Pottery Date, Couple Activities, Pottery Workshop, Date Ideas, Delhi Experiences",Couples,
Art Date,Painting,"Enjoy a unique date experience by creating artwork together in a relaxed and welcoming environment. This guided art session encourages couples and friends to paint, craft, and express their creativity while spending meaningful time together. No prior artistic experience is needed, making it an ideal activity for beginners looking for a memorable outing in Delhi.","Spend quality time together at a creative Art Date in Delhi featuring painting, crafting, and a memorable artistic experience.",Third Wave Coffee,"Malviya Nagar, New Delhi",Multiple dates,Multiple slots,1 Hour 30 Minutes,₹899 onwards,All ages,"English, Hindi",https://in.bookmyshow.com/events/art-date/ET00494616,"Art Date, Couple Workshop, Painting Date, Creative Date Idea, Weekend Activity",Couples,
